,daily_returns_tlt,daily_returns_tlt_volume,daily_returns_tsla,daily_returns_tsla_volume,target
2018-07-03,0.005108767303889206,-0.6257008363901304,-0.07206046497746743,-0.3568867717175299,0
2018-07-05,0.0028693228398097848,0.04414969776677835,-0.005836461368298962,0.4562804042061255,0
2018-07-06,0.0031063516717075856,0.19946818659446763,-0.0006470188605997018,-0.4926552727264929,0
2018-07-09,-0.006111971314481268,0.20165850244383532,0.030364831180602847,-0.1908067811588512,1
2018-07-10,-8.199409642495326e-05,-0.0792389370206954,0.012818498853246929,0.23605527307881236,1
2018-07-11,0.003936039360393551,-0.003372305994808089,-0.010764028910878909,-0.4735313068852073,0
2018-07-12,-0.00016335865392480553,-0.20316937888646014,-0.006835998745688188,0.177076395870019,0
2018-07-13,0.002614165509353894,-0.008870900086100919,0.0065673149785299145,0.08786286635006713,1
2018-07-16,-0.004318422553572843,0.22036572786950193,-0.02700752823086583,0.28544373905689824,0
2018-07-17,-0.0018821603927987596,-0.22631168169336768,0.040233405332215755,-0.11252977702869882,1
2018-07-18,-0.0037714192014429715,0.7594753232046805,0.004121858245266008,-0.20265688718432195,1
2018-07-19,0.006007735988807328,-0.08198499413967664,-0.011635802469135759,0.07041037897959823,0
2018-07-20,-0.012025523560209361,0.5598112624419154,-0.020797551759672794,-0.12751432842323496,0
2018-07-23,-0.012171896994286668,-3.495818127563499e-05,-0.03307076569824918,1.0182478582756151,0
2018-07-24,0.0031852472757754047,-0.1564530688737703,-0.01906332453825843,-0.09167740126153279,0
2018-07-25,-0.0017546791443850962,-0.051797072087139906,0.038027032479322154,-0.25289402822214246,1
2018-07-26,-0.0014229513685444228,-0.008446269742408252,-0.007709001392802728,-0.36784010698519887,0
2018-07-27,0.0014249790444258448,-0.39517731867520156,-0.02990044067243358,0.21513722709278338,0
2018-07-30,-0.0032644178454842576,0.5125071416021916,-0.02358760388976744,0.20604939463734473,0
2018-07-31,0.005122606650990846,0.056239275614491824,0.02746571093803829,-0.27337567156317555,1
2018-08-01,-0.010109449410978355,0.6524283686085208,0.011199060875398237,0.47880992927972144,1
2018-08-02,0.0014348413234301916,-0.6210612137687572,0.15888075518509792,2.1886702688191537,1
2018-08-03,0.004719764011799299,0.36498029670085197,-0.0031191523049612924,-0.4141344942603187,0
2018-08-06,0.0005871990604815469,-0.34446407640439414,-0.018087855297157618,-0.35671758343766624,0
2018-08-07,-0.004946344735077157,0.12300806442936163,0.10988304093567236,2.6889021301817255,1
2018-08-08,0.0007582778667116763,0.037247034849020366,-0.024237314927024523,-0.28329289454737516,0
2018-08-09,0.008418925745074857,0.35925214271039096,-0.048922728009071825,-0.2891947556706521,0
2018-08-10,0.0073468024711971225,0.09466195765563246,0.009280077215692906,-0.2888188729799749,1
2018-08-13,-0.0016575501408917503,-0.08283052052890605,0.002477997575444091,-0.14943246866917925,1
2018-08-14,-0.0025734683712435036,-0.43961008362040954,-0.024606492522656565,-0.30590115880575364,0
2018-08-15,0.0053266749895963805,0.9036126801574182,-0.025543665861235798,0.3004821349407034,0
2018-08-16,0.0003311532411622853,-0.2632423621147447,-0.009770929271460616,-0.37219828762318286,0
2018-08-17,0.0012414135562359707,-0.27085230725617115,-0.08925324191384709,2.3461377751853094,0
2018-08-20,0.006612663250123996,0.3358774166796743,0.009590520768550936,-0.1473721327760973,1
2018-08-21,-0.0031203810149449396,-0.17032522481578172,0.04363895733367906,-0.17683891137123153,1
2018-08-22,0.0037067545304776406,-0.06126161880136194,-0.0011804908356631838,-0.5223092896198722,0
2018-08-23,0.0015592942141979815,0.18538207060488188,-0.004385419258521872,-0.17831497792552486,0
2018-08-24,0.001966568338249708,0.09359296986393129,0.00843460060604162,-0.3049342250795405,1
2018-08-27,-0.005969905135754017,0.17815647317070282,-0.010129797713825384,2.705584978596814,0
2018-08-28,-0.005676676264911529,-0.20798522486718818,-0.02406584465168682,-0.3937036168911273,0
2018-08-29,0.001199735230845489,0.05301233360488844,-0.02235048901715575,-0.053065817615311706,0
2018-08-30,0.002189992149084663,0.037486719414066894,-0.00572356336919444,-0.027244305111735034,0
2018-08-31,-0.00230889750144303,1.0499791984532565,-0.00489880746202187,-0.2726886549299773,0
